25634, Gitwe, Emergency
25803, Kaduha, Resupply
25892, Mugonero, Emergency
25967, Murunda, Resupply
26360, Gakoma, Resupply
26580, Byumba, Emergency
26630, Gakoma, Emergency
26735, Kigeme, Resupply
26781, Kibilizi, Resupply
26878, Kabaya, Resupply
27140, Shyira, Resupply
27179, Gitwe, Resupply
27335, Bigogwe, Resupply
27657, Ruli, Resupply
28058, Kabaya, Resupply
28159, Mugonero, Resupply
28262, Byumba, Resupply
28293, Kabgayi, Emergency
28309, Nyanza, Resupply
28355, Nyanza, Resupply
28409, Kibilizi, Resupply
28422, Ruli, Emergency
28437, Murunda, Resupply
28511, Gakoma, Resupply
28632, Butaro, Resupply
28689, Kigeme, Emergency
28779, Gakoma, Resupply
28904, Kinihira, Resupply
29233, Muhororo, Emergency
29511, Gitwe, Emergency
29639, Ruhango, Resupply
29909, Gitwe, Resupply
29943, Kirinda, Resupply
30136, Gakoma, Resupply
30148, Kibilizi, Resupply
30327, Ruli, Emergency
30443, Muhororo, Resupply
30467, Kigeme, Emergency
30497, Kibilizi, Emergency
30865, Kabaya, Resupply
30895, Kibilizi, Resupply
30918, Nemba, Emergency
31447, Gikonko, Emergency
31823, Nemba, Resupply
32145, Ruhango, Emergency
32257, Gitwe, Resupply
32463, Ruli, Resupply
32967, Muhororo, Resupply
32967, Nyanza, Resupply
32984, Mugonero, Resupply
33878, Byumba, Resupply
33932, Murunda, Resupply
33973, Byumba, Emergency
34065, Bigogwe, Emergency
34423, Murunda, Resupply
34683, Muhororo, Emergency
34724, Byumba, Emergency
34744, Kibilizi, Resupply
34779, Gikonko, Emergency
34792, Kigeme, Resupply
34872, Kibilizi, Resupply
35064, Mugonero, Resupply
35118, Ruhango, Resupply
35134, Butaro, Resupply
35327, Mugonero, Resupply
35350, Byumba, Resupply
35356, Kibilizi, Emergency
35435, Bigogwe, Emergency
35522, Byumba, Resupply
35711, Kaduha, Resupply
35960, Gakoma, Resupply
36160, Bigogwe, Resupply
36315, Ruli, Resupply
36403, Kirinda, Resupply
36562, Kirinda, Resupply
36702, Kigeme, Emergency
37033, Kabaya, Resupply
37388, Butaro, Resupply
37467, Kirinda, Resupply
37636, Ruli, Resupply
37755, Murunda, Emergency
37876, Bigogwe, Emergency
37876, Gikonko, Resupply
37885, Gitwe, Resupply
37934, Ruhango, Emergency
38301, Kabgayi, Resupply
38347, Kirinda, Resupply
38604, Kabgayi, Resupply
38674, Ruli, Emergency
38720, Gitwe, Emergency
38745, Byumba, Resupply
38772, Kabaya, Resupply
38931, Kinihira, Resupply
39077, Kibilizi, Resupply
39144, Gikonko, Resupply
39491, Byumba, Emergency
40056, Byumba, Resupply
40405, Kirinda, Resupply
40455, Gakoma, Resupply
40573, Gitwe, Resupply
40758, Butaro, Resupply
40795, Kabgayi, Resupply
40868, Byumba, Emergency
40915, Gakoma, Emergency
40924, Nemba, Resupply
41048, Bigogwe, Resupply
41760, Nyanza, Emergency
42248, Kabgayi, Resupply
42307, Muhororo, Resupply
42437, Murunda, Resupply
42728, Kabgayi, Emergency
42854, Ruli, Resupply
43090, Murunda, Resupply
43249, Shyira, Resupply
43561, Butaro, Emergency
43643, Gitwe, Resupply
43910, Muhororo, Resupply
43971, Kabgayi, Emergency
43988, Mugonero, Resupply
44480, Byumba, Resupply
